Date	Time	V_inf	B_ksi	B_etta
2021-Feb-01 00:57:57.593	0	0	0	0
2021-Feb-01 01:05:57.593	480	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 01:07:57.593	600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 01:13:57.593	960	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 01:17:57.593	1200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 01:21:57.593	1440	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 01:27:57.593	1800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 01:29:57.593	1920	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 01:37:57.593	2400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 01:45:57.593	2880	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 01:47:57.593	3000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 01:57:57.593	3600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 02:07:57.593	4200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 02:17:57.593	4800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 02:27:57.593	5400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 02:37:57.593	6000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 02:47:57.593	6600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 02:57:57.593	7200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 03:07:57.593	7800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 03:17:57.593	8400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 03:27:57.593	9000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 03:37:57.593	9600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 03:47:57.593	10200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 03:57:57.593	10800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 04:07:57.593	11400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 04:17:57.593	12000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 04:27:57.593	12600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 04:37:57.593	13200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 04:47:57.593	13800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 04:57:57.593	14400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 05:07:57.593	15000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 05:17:57.593	15600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 05:27:57.593	16200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 05:37:57.593	16800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 05:47:57.593	17400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 05:57:57.593	18000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 06:07:57.593	18600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 06:17:57.593	19200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 06:27:57.593	19800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 06:37:57.593	20400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 06:47:57.593	21000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 06:57:57.593	21600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 07:07:57.593	22200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 07:17:57.593	22800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 07:27:57.593	23400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 07:37:57.593	24000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 07:47:57.593	24600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 07:57:57.593	25200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 08:07:57.593	25800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 08:17:57.593	26400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 08:27:57.593	27000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 08:37:57.593	27600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 08:47:57.593	28200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 08:57:57.593	28800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 09:07:57.593	29400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 09:17:57.593	30000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 09:27:57.593	30600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 09:37:57.593	31200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 09:47:57.593	31800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 09:57:57.593	32400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 10:07:57.593	33000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 10:17:57.593	33600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 10:27:57.593	34200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 10:37:57.593	34800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 10:47:57.593	35400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 10:57:57.593	36000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 11:07:57.593	36600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 11:17:57.593	37200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 11:27:57.593	37800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 11:37:57.593	38400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 11:47:57.593	39000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 11:57:57.593	39600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 12:07:57.593	40200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 12:17:57.593	40800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 12:27:57.593	41400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 12:37:57.593	42000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 12:47:57.593	42600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 12:57:57.593	43200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 13:07:57.593	43800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 13:17:57.593	44400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 13:27:57.593	45000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 13:37:57.593	45600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 13:47:57.593	46200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 13:57:57.593	46800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 14:07:57.593	47400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 14:17:57.593	48000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 14:27:57.593	48600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 14:37:57.593	49200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 14:47:57.593	49800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 14:57:57.593	50400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 15:07:57.593	51000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 15:17:57.593	51600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 15:27:57.593	52200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 15:37:57.593	52800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 15:47:57.593	53400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 15:57:57.593	54000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 16:07:57.593	54600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 16:17:57.593	55200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 16:27:57.593	55800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 16:37:57.593	56400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 16:47:57.593	57000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 16:57:57.593	57600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 17:07:57.593	58200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 17:17:57.593	58800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 17:27:57.593	59400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 17:37:57.593	60000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 17:47:57.593	60600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 17:57:57.593	61200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 18:07:57.593	61800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 18:17:57.593	62400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 18:27:57.593	63000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 18:37:57.593	63600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 18:47:57.593	64200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 18:57:57.593	64800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 19:07:57.593	65400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 19:17:57.593	66000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 19:27:57.593	66600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 19:37:57.593	67200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 19:47:57.593	67800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 19:57:57.593	68400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 20:07:57.593	69000	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 20:17:57.593	69600	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 20:27:57.593	70200	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 20:37:57.593	70800	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 20:47:57.593	71400	-nan(ind)	-nan(ind)	-nan(ind)
2021-Feb-01 20:57:57.593	72000	-nan(ind)	-nan(ind)	-nan(ind)
