Date	Time	X	Y	Z	r_KA	Vx	Vy	Vz	V_KA	???? ??????? ??.
2021-Feb-01 00:57:57.593	0	314842	193258	42825	10000	-1.0941	0.515764	-0.352739	0.726643	-nan(ind)
2021-Feb-01 01:05:57.593	480	320916	182352	42657.9	10000.4	-1.06591	0.534275	-0.343689	0.72662	0.139877
2021-Feb-01 01:07:57.593	600	322376	179594	42616.8	10000.7	-1.05875	0.538753	-0.341442	0.726606	0.174841
2021-Feb-01 01:13:57.593	960	326617	171248	42495.1	10001.7	-1.03704	0.551819	-0.334738	0.726544	0.27968
2021-Feb-01 01:17:57.593	1200	329326	165626	42415.3	10002.7	-1.02236	0.560221	-0.330302	0.726485	0.34951
2021-Feb-01 01:21:57.593	1440	331939	159959	42336.5	10003.8	-1.00754	0.568372	-0.325896	0.726413	0.419273
2021-Feb-01 01:27:57.593	1800	335678	151378	42220.4	10006	-0.985014	0.580124	-0.319345	0.72628	0.523755
2021-Feb-01 01:29:57.593	1920	336876	148497	42182.2	10006.8	-0.977435	0.583912	-0.317177	0.726228	0.558531
2021-Feb-01 01:37:57.593	2400	341423	136877	42032	10010.6	-0.946772	0.598417	-0.308592	0.72599	0.697332
2021-Feb-01 01:45:57.593	2880	345574	125110	41885.9	10015.3	-0.915588	0.611868	-0.300154	0.725699	0.835551
2021-Feb-01 01:47:57.593	3000	346549	122147	41850	10016.6	-0.907716	0.615063	-0.298069	0.725618	0.870001
2021-Feb-01 01:57:57.593	3600	351048	107216	41674.3	10023.8	-0.867924	0.630026	-0.287796	0.725163	1.04152
2021-Feb-01 02:07:57.593	4200	354913	92109.6	41504.6	10032.4	-0.827478	0.643272	-0.277795	0.724626	1.21165
2021-Feb-01 02:17:57.593	4800	358135	76855.3	41340.9	10042.2	-0.786462	0.654775	-0.268087	0.724008	1.38016
2021-Feb-01 02:27:57.593	5400	360711	61480.1	41182.8	10053.3	-0.744962	0.664508	-0.258691	0.723311	1.54681
2021-Feb-01 02:37:57.593	6000	362635	46011.5	41030.4	10065.6	-0.703066	0.672453	-0.249626	0.722535	1.71137
2021-Feb-01 02:47:57.593	6600	363903	30477.1	40883.2	10079.2	-0.660861	0.678592	-0.240907	0.721683	1.87361
2021-Feb-01 02:57:57.593	7200	364515	14904.6	40741.2	10094	-0.61844	0.682914	-0.232552	0.720755	2.03331
2021-Feb-01 03:07:57.593	7800	364469	-678.259	40604.1	10109.9	-0.575892	0.685412	-0.224574	0.719753	2.19025
2021-Feb-01 03:17:57.593	8400	363765	-16243.7	40471.6	10127	-0.533309	0.686082	-0.216987	0.718679	2.3442
2021-Feb-01 03:27:57.593	9000	362404	-31764	40343.6	10145.1	-0.490783	0.684925	-0.209804	0.717536	2.49497
2021-Feb-01 03:37:57.593	9600	360390	-47211.5	40219.8	10164.4	-0.448406	0.681949	-0.203034	0.716324	2.64234
