Date	Time	X	Y	Z	r_KA	?????????? ?? ????	Vx	Vy	Vz	V_KA	??????? ?????
2021-Feb-01 00:57:57.593	0	-592.609	-9175.76	-3931.19	10000	10000	0.718435	-0.0786671	0.0753157	0.726643	Moon
2021-Feb-01 00:59:57.593	120	-506.376	-9184.87	-3922.01	10000	10000	0.71876	-0.0732576	0.0776294	0.726643	Moon
2021-Feb-01 01:07:57.593	600	-161.148	-9214.84	-3882.54	10000.7	10000.7	0.719554	-0.0515731	0.0868266	0.726606	Moon
2021-Feb-01 01:17:57.593	1200	270.603	-9237.63	-3827.03	10002.7	10002.7	0.719407	-0.0243989	0.0981788	0.726485	Moon
2021-Feb-01 01:27:57.593	1800	701.887	-9244.11	-3764.76	10006	10006	0.717995	0.0027966	0.109348	0.72628	Moon
2021-Feb-01 01:37:57.593	2400	1131.95	-9234.28	-3695.85	10010.6	10010.6	0.715325	0.0299546	0.120311	0.72599	Moon
2021-Feb-01 01:47:57.593	3000	1560.03	-9208.18	-3620.44	10016.6	10016.6	0.711406	0.0570166	0.131043	0.725618	Moon
2021-Feb-01 01:57:57.593	3600	1985.39	-9165.89	-3538.65	10023.8	10023.8	0.70625	0.0839249	0.141524	0.725163	Moon
2021-Feb-01 02:07:57.593	4200	2407.28	-9107.52	-3450.66	10032.4	10032.4	0.699874	0.110623	0.151731	0.724626	Moon
2021-Feb-01 02:17:57.593	4800	2824.99	-9033.2	-3356.63	10042.2	10042.2	0.692297	0.137053	0.161645	0.724008	Moon
2021-Feb-01 02:27:57.593	5400	3237.8	-8943.12	-3256.75	10053.3	10053.3	0.683543	0.163163	0.171245	0.723311	Moon
2021-Feb-01 02:37:57.593	6000	3645.02	-8837.48	-3151.21	10065.6	10065.6	0.673639	0.188899	0.180514	0.722535	Moon
2021-Feb-01 02:47:57.593	6600	4045.95	-8716.52	-3040.2	10079.2	10079.2	0.662612	0.214208	0.189435	0.721683	Moon
2021-Feb-01 02:57:57.593	7200	4439.93	-8580.52	-2923.96	10094	10094	0.650496	0.239043	0.197991	0.720755	Moon
2021-Feb-01 03:07:57.593	7800	4826.33	-8429.78	-2802.69	10109.9	10109.9	0.637325	0.263355	0.206168	0.719753	Moon
2021-Feb-01 03:17:57.593	8400	5204.52	-8264.61	-2676.63	10127	10127	0.623136	0.287098	0.213953	0.718679	Moon
2021-Feb-01 03:27:57.593	9000	5573.9	-8085.38	-2546.03	10145.1	10145.1	0.607968	0.310231	0.221334	0.717536	Moon
2021-Feb-01 03:37:57.593	9600	5933.89	-7892.46	-2411.12	10164.4	10164.4	0.591862	0.332713	0.2283	0.716324	Moon
2021-Feb-01 03:47:57.593	10200	6283.95	-7686.26	-2272.15	10184.8	10184.8	0.574862	0.354506	0.234842	0.715047	Moon
