Date	Time	X	Y	Z	R	Vx	Vy	Vz	inc
2021-Feb-01 00:57:57.593	0	14.6003	-9999.99	1.03455e-09	10000	0.722062	0.00105429	0.0814598	6.43663
2021-Feb-01 00:59:57.593	120	101.244	-9999.51	9.7739	10000	0.722029	0.00694658	0.0814568	6.43662
2021-Feb-01 01:07:57.593	600	447.687	-9990.52	48.8556	10000.7	0.721389	0.0305047	0.0813873	6.43651
2021-Feb-01 01:17:57.593	1200	879.989	-9963.4	97.6246	10002.7	0.719448	0.0598894	0.0811703	6.4363
2021-Feb-01 01:27:57.593	1800	1310.75	-9918.68	146.221	10006	0.716244	0.089145	0.0808097	6.43598
2021-Feb-01 01:37:57.593	2400	1739.21	-9856.47	194.557	10010.6	0.711786	0.118208	0.0803063	6.43556
2021-Feb-01 01:47:57.593	3000	2164.62	-9776.89	242.55	10016.6	0.706089	0.147018	0.0796618	6.43505
2021-Feb-01 01:57:57.593	3600	2586.24	-9680.11	290.115	10023.8	0.699167	0.175512	0.0788779	6.43445
2021-Feb-01 02:07:57.593	4200	3003.35	-9566.35	337.168	10032.4	0.691043	0.203631	0.0779571	6.43376
2021-Feb-01 02:17:57.593	4800	3415.24	-9435.85	383.628	10042.2	0.681738	0.231317	0.0769018	6.43298
2021-Feb-01 02:27:57.593	5400	3821.19	-9288.88	429.416	10053.3	0.67128	0.258514	0.0757152	6.43212
2021-Feb-01 02:37:57.593	6000	4220.52	-9125.75	474.454	10065.6	0.659698	0.285168	0.0744006	6.43119
2021-Feb-01 02:47:57.593	6600	4612.58	-8946.81	518.665	10079.2	0.647025	0.311226	0.0729617	6.43019
2021-Feb-01 02:57:57.593	7200	4996.72	-8752.42	561.978	10094	0.633296	0.336638	0.0714026	6.42914
2021-Feb-01 03:07:57.593	7800	5372.31	-8542.99	604.32	10109.9	0.618549	0.361358	0.0697275	6.42802
2021-Feb-01 03:17:57.593	8400	5738.76	-8318.95	645.624	10127	0.602823	0.385341	0.067941	6.42686
2021-Feb-01 03:27:57.593	9000	6095.49	-8080.75	685.824	10145.1	0.586162	0.408545	0.0660478	6.42566
2021-Feb-01 03:37:57.593	9600	6441.96	-7828.88	724.858	10164.4	0.568608	0.430932	0.0640529	6.42443
2021-Feb-01 03:47:57.593	10200	6777.63	-7563.82	762.666	10184.8	0.550207	0.452465	0.0619616	6.42318
