Date	Time	X	Y	Z	R	Vx	Vy	Vz	inc
2021-Feb-01 00:57:57.593	0	3.03171e-09	-10000	6.2958e-10	10000	0.722063	5.9295e-08	0.0814598	6.43663
2021-Feb-01 00:59:57.593	120	83.4527	-9999.67	9.7739	10000	0.72204	0.00566195	0.0814568	6.43662
2021-Feb-01 01:07:57.593	600	417.156	-9991.84	48.8556	10000.7	0.721479	0.0283002	0.0813873	6.43651
2021-Feb-01 01:17:57.593	1200	833.635	-9967.38	97.6246	10002.7	0.719719	0.0565423	0.0811703	6.4363
2021-Feb-01 01:27:57.593	1800	1248.76	-9926.68	146.221	10006	0.716787	0.0846687	0.0808097	6.43598
2021-Feb-01 01:37:57.593	2400	1661.85	-9869.8	194.557	10010.6	0.712691	0.112622	0.0803063	6.43556
2021-Feb-01 01:47:57.593	3000	2072.24	-9796.88	242.55	10016.6	0.707445	0.140347	0.0796618	6.43505
2021-Feb-01 01:57:57.593	3600	2479.27	-9708.06	290.115	10023.8	0.701061	0.167786	0.0788779	6.43445
2021-Feb-01 02:07:57.593	4200	2882.29	-9603.52	337.168	10032.4	0.693559	0.194887	0.0779571	6.43376
2021-Feb-01 02:17:57.593	4800	3280.66	-9483.48	383.628	10042.2	0.684959	0.221596	0.0769018	6.43298
2021-Feb-01 02:27:57.593	5400	3673.75	-9348.17	429.416	10053.3	0.675286	0.247862	0.0757152	6.43212
2021-Feb-01 02:37:57.593	6000	4060.94	-9197.87	474.454	10065.6	0.664564	0.273635	0.0744006	6.43119
2021-Feb-01 02:47:57.593	6600	4441.65	-9032.89	518.665	10079.2	0.652825	0.298868	0.0729617	6.43019
2021-Feb-01 02:57:57.593	7200	4815.29	-8853.53	561.978	10094	0.640099	0.323516	0.0714026	6.42914
2021-Feb-01 03:07:57.593	7800	5181.31	-8660.17	604.32	10109.9	0.62642	0.347535	0.0697275	6.42802
2021-Feb-01 03:17:57.593	8400	5539.16	-8453.17	645.624	10127	0.611823	0.370886	0.067941	6.42686
2021-Feb-01 03:27:57.593	9000	5888.33	-8232.94	685.824	10145.1	0.596347	0.393529	0.0660478	6.42566
2021-Feb-01 03:37:57.593	9600	6228.32	-7999.89	724.858	10164.4	0.580031	0.415429	0.0640529	6.42443
2021-Feb-01 03:47:57.593	10200	6558.66	-7754.46	762.666	10184.8	0.562915	0.436553	0.0619616	6.42318
2021-Feb-01 03:57:57.593	10800	6878.9	-7497.13	799.191	10206.1	0.545042	0.456872	0.0597791	6.42191
2021-Feb-01 04:07:57.593	11400	7188.63	-7228.35	834.382	10228.5	0.526453	0.476357	0.0575108	6.42064
2021-Feb-01 04:17:57.593	12000	7487.43	-6948.63	868.187	10251.8	0.507194	0.494984	0.0551624	6.41937
2021-Feb-01 04:27:57.593	12600	7774.94	-6658.46	900.562	10276	0.487308	0.51273	0.0527395	6.41811
2021-Feb-01 04:37:57.593	13200	8050.82	-6358.36	931.462	10301.1	0.466839	0.529577	0.0502478	6.41687
2021-Feb-01 04:47:57.593	13800	8314.74	-6048.86	960.848	10327	0.445834	0.545509	0.047693	6.41566
2021-Feb-01 04:57:57.593	14400	8566.41	-5730.48	988.684	10353.7	0.424337	0.56051	0.0450807	6.41448
2021-Feb-01 05:07:57.593	15000	8805.56	-5403.79	1014.94	10381.2	0.402393	0.574571	0.0424169	6.41335
2021-Feb-01 05:17:57.593	15600	9031.94	-5069.31	1039.58	10409.4	0.380046	0.587681	0.039707	6.41227
2021-Feb-01 05:27:57.593	16200	9245.35	-4727.6	1062.58	10438.2	0.357342	0.599835	0.0369569	6.41125
2021-Feb-01 05:37:57.593	16800	9445.59	-4379.22	1083.92	10467.6	0.334323	0.611029	0.0341719	6.4103
2021-Feb-01 05:47:57.593	17400	9632.5	-4024.72	1103.59	10497.7	0.311033	0.621261	0.0313576	6.40942
2021-Feb-01 05:57:57.593	18000	9805.93	-3664.66	1121.55	10528.2	0.287513	0.630531	0.0285194	6.40863
2021-Feb-01 06:07:57.593	18600	9965.77	-3299.59	1137.81	10559.3	0.263806	0.638842	0.0256625	6.40791
2021-Feb-01 06:17:57.593	19200	10111.9	-2930.06	1152.35	10590.8	0.239952	0.646198	0.022792	6.40729
2021-Feb-01 06:27:57.593	19800	10244.3	-2556.63	1165.17	10622.6	0.215989	0.652605	0.019913	6.40676
2021-Feb-01 06:37:57.593	20400	10362.9	-2179.84	1176.26	10654.8	0.191956	0.658071	0.0170303	6.40633
2021-Feb-01 06:47:57.593	21000	10467.7	-1800.23	1185.61	10687.4	0.16789	0.662606	0.0141485	6.40601
2021-Feb-01 06:57:57.593	21600	10558.7	-1418.32	1193.24	10720.1	0.143826	0.666219	0.0112722	6.40579
2021-Feb-01 07:07:57.593	22200	10635.8	-1034.66	1199.15	10753.1	0.119799	0.668924	0.00840582	6.40568
2021-Feb-01 07:17:57.593	22800	10699.1	-649.76	1203.34	10786.2	0.0958412	0.670733	0.00555348	6.40567
2021-Feb-01 07:27:57.593	23400	10748.7	-264.126	1205.83	10819.4	0.071985	0.671661	0.00271924	6.40578
2021-Feb-01 07:37:57.593	24000	10784.7	121.735	1206.62	10852.7	0.0482606	0.671723	-9.3061e-05	6.406
2021-Feb-01 07:47:57.593	24600	10807.1	507.331	1205.74	10886	0.0246967	0.670936	-0.00287973	6.40633
2021-Feb-01 07:57:57.593	25200	10816	892.18	1203.19	10919.2	0.00132109	0.669316	-0.00563727	6.40677
2021-Feb-01 08:07:57.593	25800	10811.5	1275.81	1198.99	10952.4	-0.02184	0.666882	-0.00836234	6.40732
2021-Feb-01 08:17:57.593	26400	10793.9	1657.75	1193.17	10985.4	-0.0447618	0.663651	-0.0110518	6.40797
2021-Feb-01 08:27:57.593	27000	10763.2	2037.56	1185.75	11018.3	-0.0674204	0.659643	-0.0137026	6.40873
2021-Feb-01 08:37:57.593	27600	10719.6	2414.8	1176.75	11051	-0.0897937	0.654876	-0.0163119	6.4096
2021-Feb-01 08:47:57.593	28200	10663.2	2789.04	1166.2	11083.4	-0.111861	0.649371	-0.0188771	6.41056
2021-Feb-01 08:57:57.593	28800	10594.3	3159.85	1154.12	11115.6	-0.133601	0.643146	-0.0213957	6.41161
2021-Feb-01 09:07:57.593	29400	10513	3526.84	1140.55	11147.3	-0.154996	0.636222	-0.0238653	6.41275
2021-Feb-01 09:17:57.593	30000	10419.6	3889.61	1125.51	11178.7	-0.176029	0.628619	-0.0262836	6.41398
2021-Feb-01 09:27:57.593	30600	10314.3	4247.78	1109.04	11209.7	-0.196683	0.620357	-0.0286486	6.41529
2021-Feb-01 09:37:57.593	31200	10197.2	4600.97	1091.16	11240.3	-0.216942	0.611456	-0.0309584	6.41667
2021-Feb-01 09:47:57.593	31800	10068.7	4948.84	1071.91	11270.3	-0.236792	0.601936	-0.0332111	6.41812
2021-Feb-01 09:57:57.593	32400	9928.99	5291.02	1051.33	11299.8	-0.25622	0.591817	-0.0354052	6.41963
2021-Feb-01 10:07:57.593	33000	9778.25	5627.19	1029.46	11328.7	-0.275213	0.58112	-0.0375389	6.42119
2021-Feb-01 10:17:57.593	33600	9616.79	5957.03	1006.32	11357	-0.293759	0.569863	-0.0396109	6.42281
2021-Feb-01 10:27:57.593	34200	9444.85	6280.21	981.953	11384.7	-0.311848	0.558067	-0.0416198	6.42447
2021-Feb-01 10:37:57.593	34800	9262.72	6596.44	956.404	11411.6	-0.32947	0.545751	-0.0435645	6.42616
2021-Feb-01 10:47:57.593	35400	9070.65	6905.43	929.707	11437.9	-0.346615	0.532933	-0.0454437	6.42788
2021-Feb-01 10:57:57.593	36000	8868.93	7206.9	901.903	11463.4	-0.363275	0.519633	-0.0472564	6.42962
2021-Feb-01 11:07:57.593	36600	8657.83	7500.57	873.031	11488.2	-0.379441	0.50587	-0.0490017	6.43137
2021-Feb-01 11:17:57.593	37200	8437.65	7786.2	843.133	11512.2	-0.395107	0.491661	-0.0506786	6.43313
2021-Feb-01 11:27:57.593	37800	8208.67	8063.54	812.249	11535.3	-0.410265	0.477026	-0.0522864	6.43489
2021-Feb-01 11:37:57.593	38400	7971.18	8332.34	780.421	11557.5	-0.424909	0.46198	-0.0538244	6.43664
2021-Feb-01 11:47:57.593	39000	7725.49	8592.38	747.692	11578.9	-0.439034	0.446543	-0.0552919	6.43838
2021-Feb-01 11:57:57.593	39600	7471.88	8843.44	714.104	11599.4	-0.452633	0.43073	-0.0566882	6.44009
